"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"04000","5","221114","58","0","2015","A","","Arizona -- Statewide","Private","Solar electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,98,11976570,942830,36937,2346,122002,"",2.43,2.53,3.30,2.09,2.40,1.30,1.30,"",1,20.0,8,8.9,904813,8.2,-441172,-31.9,-15005,-28.9,-22,-0.9,-1132,-0.9
"04013","5","221114","78","0","2015","A","N","Maricopa County, Arizona","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",3.23,0,0,0,0,0,0,"N",2,66.7,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","221114","78","0","2015","A","N","Pima County, Arizona","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","5","221114","58","0","2015","A","","California -- Statewide","Private","Solar electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",37,944,119586545,12655137,732705,2437,126737,"",1.57,3.91,4.10,4.47,3.61,1.05,1.05,"",2,5.7,158,20.1,13726101,13.0,4052088,47.1,265000,56.7,-152,-5.9,-7874,-5.8
"06013","5","221114","78","0","2015","A","N","Contra Costa County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.98,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06025","5","221114","78","0","2015","A","N","Imperial County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",17.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06029","5","221114","78","0","2015","A","N","Kern County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",6.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06037","5","221114","78","0","2015","A","N","Los Angeles County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"06053","5","221114","78","0","2015","A","N","Monterey County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06059","5","221114","78","0","2015","A","N","Orange County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"06061","5","221114","78","0","2015","A","N","Placer County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",5.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06065","5","221114","78","0","2015","A","N","Riverside County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.16,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06071","5","221114","78","0","2015","A","","San Bernardino County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,93,9035337,1037482,56431,1877,97591,"",4.54,9.10,10.40,9.31,7.17,1.15,1.15,"",1,33.3,-40,-30.1,-3704503,-29.1,-107549,-9.4,-4130,-6.8,41,2.2,2102,2.2
"06073","5","221114","78","0","2015","A","","San Diego County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,11,1886741,113180,6327,3225,167710,"",2.34,0.54,0.82,0.51,0.40,1.47,1.47,"",0,0.0,-8,-42.1,-461644,-19.7,-101913,-47.4,-4308,-40.5,827,34.5,43017,34.5
"06075","5","221114","78","0","2015","A","","San Francisco County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,157,25763735,2750650,163467,3152,163926,"",3.09,15.70,13.55,21.38,17.68,0.86,0.86,"",0,0.0,64,68.8,8511588,49.3,1735504,171.0,103771,173.8,-422,-11.8,-21914,-11.8
"06081","5","221114","78","0","2015","A","N","San Mateo County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",9.04,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06083","5","221114","78","0","2015","A","N","Santa Barbara County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",8.17,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","5","221114","78","0","2015","A","N","Santa Clara County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06097","5","221114","78","0","2015","A","N","Sonoma County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",9.49,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"06107","5","221114","78","0","2015","A","N","Tulare County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",6.40,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06111","5","221114","78","0","2015","A","N","Ventura County, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06999","5","221114","78","0","2015","A","N","Unknown Or Undefined, California","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",4.19,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0
"08000","5","221114","58","0","2015","A","","Colorado -- Statewide","Private","Solar electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,271,25305555,4565823,218911,1797,93436,"",2.59,7.33,6.45,6.62,9.71,0.88,0.88,"",1,14.3,52,23.7,4722704,22.9,1052814,30.0,82040,59.9,-11,-0.6,-585,-0.6
"08003","5","221114","78","0","2015","A","N","Alamosa County, Colorado","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",219.57,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08005","5","221114","78","0","2015","A","N","Arapahoe County, Colorado","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.91,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08013","5","221114","78","0","2015","A","N","Boulder County, Colorado","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08031","5","221114","78","0","2015","A","N","Denver County, Colorado","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.04,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08045","5","221114","78","0","2015","A","N","Garfield County, Colorado","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",23.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08059","5","221114","78","0","2015","A","N","Jefferson County, Colorado","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",6.35,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"09000","5","221114","58","0","2015","A","N","Connecticut -- Statewide","Private","Solar electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"09001","5","221114","78","0","2015","A","N","Fairfield County, Connecticut","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"09003","5","221114","78","0","2015","A","N","Hartford County, Connecticut","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"09007","5","221114","78","0","2015","A","N","Middlesex County, Connecticut","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",11.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"12000","5","221114","58","0","2015","A","","Florida -- Statewide","Private","Solar electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",17,40,3365525,508391,9565,1625,84490,"",1.59,0.34,0.31,0.36,0.22,0.93,0.93,"",4,30.8,23,135.3,1552664,85.6,270409,113.6,3230,51.0,-377,-18.8,-19598,-18.8
"12057","5","221114","78","0","2015","A","N","Hillsborough County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"12071","5","221114","78","0","2015","A","N","Lee County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",5.94,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"12073","5","221114","78","0","2015","A","N","Leon County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.27,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"12081","5","221114","78","0","2015","A","N","Manatee County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",6.01,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"12086","5","221114","78","0","2015","A","N","Miami-Dade County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.29,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"12099","5","221114","78","0","2015","A","","Palm Beach County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,6,1190261,84000,2268,3815,198377,"",4.57,0.72,1.41,0.79,0.70,1.97,1.97,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"12103","5","221114","78","0","2015","A","N","Pinellas County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"12109","5","221114","78","0","2015","A","N","St. Johns County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"12115","5","221114","78","0","2015","A","N","Sarasota County, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.96,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"12999","5","221114","78","0","2015","A","N","Unknown Or Undefined, Florida","Private","Solar electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",5.98,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
